 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
*************************************************************************************************************************************************************************************
$$SOE
 1990-Oct-21 20:00, , , 02 05 58.23, +13 32 18.3,     n.a.,   n.a.,  1.00417943273343,  2.6803965,  123.7049,/L,    0.2280,   3.2492973,  93.428424,  3.8878912,        n.a.     n.a.
 1990-Oct-22 20:00, , , 02 10 54.81, +14 00 52.8,     n.a.,   n.a.,  1.00592556762980,  3.3773086,  136.4977,/L,    0.1896,   3.2075121,  93.630852,  4.9493042,        n.a.     n.a.
 1990-Oct-23 20:00, , , 02 15 49.10, +14 28 37.9,     n.a.,   n.a.,  1.00809170662514,  4.1323823,  149.2505,/L,    0.1424,   3.1699184,  93.834798,  6.1065500,        n.a.     n.a.
 1990-Oct-24 20:00, , , 02 20 41.51, +14 55 35.9,     n.a.,   n.a.,  1.01070682911672,  4.9291693,  161.8352,/L,    0.0894,   3.1375792,  94.034879,  7.3277353,        n.a.     n.a.
 1990-Oct-25 20:00, , , 02 25 32.55, +15 21 50.0,     n.a.,   n.a.,  1.01378967265126,  5.7487813,  173.1402,/L,    0.0366,   3.1112198,  94.225543,  8.5749166,        n.a.     n.a.
 1990-Oct-26 20:00, , , 02 30 22.75, +15 47 23.8,     n.a.,   n.a.,  1.01734754505079,  6.5707095,  170.1073,/T,    0.0378,   3.0911496,  94.401622,  9.8071585,        n.a.     n.a.
 1990-Oct-27 20:00, , , 02 35 12.67, +16 12 21.2,     n.a.,   n.a.,  1.02137571678035,  7.3739520,  158.0197,/T,    0.0894,   3.0772727,  94.558779,  10.984272,        n.a.     n.a.
 1990-Oct-28 20:00, , , 02 40 02.83, +16 36 45.8,     n.a.,   n.a.,  1.02585744232434,  8.1380803,  145.3110,/T,    0.1394,   3.0690933,  94.693909,  12.070355,        n.a.     n.a.
 1990-Oct-29 20:00, , , 02 44 53.71, +17 00 41.3,     n.a.,   n.a.,  1.03076460061134,  8.8443004,  132.4747,/T,    0.1823,   3.0657507,  94.805394,  13.036653,        n.a.     n.a.
 1990-Oct-30 20:00, , , 02 49 45.68, +17 24 10.4,     n.a.,   n.a.,  1.03605892557588,  9.4764256,  119.5923,/T,    0.2154,   3.0660774,  94.893181,  13.863332,        n.a.     n.a.
 1990-Oct-31 20:00, , , 02 54 39.00, +17 47 15.4,     n.a.,   n.a.,  1.04169375958665, 10.0217060,  106.6891,/T,    0.2370,   3.0686724,  94.958682,  14.540101,        n.a.     n.a.
 1990-Nov-01 20:00, , , 02 59 33.80, +18 09 57.4,     n.a.,   n.a.,  1.04761623359459, 10.4714703,   93.7761,/T,    0.2461,   3.0719865,  95.004551,  15.065819,        n.a.     n.a.
 1990-Nov-02 20:00, , , 03 04 30.06, +18 32 16.9,     n.a.,   n.a.,  1.05376975683937, 10.8215526,   80.8586,/T,    0.2426,   3.0744150,  95.034341,  15.447159,        n.a.     n.a.
 1990-Nov-03 20:00, , , 03 09 27.63, +18 54 13.2,     n.a.,   n.a.,  1.06009499819459, 11.0696626,   67.9408,/T,    0.2262,   3.0744887,  95.052526,  15.693900,        n.a.     n.a.
 1990-Nov-04 20:00, , , 03 14 26.17, +19 15 44.8,     n.a.,   n.a.,  1.06653772882758, 11.2266636,   55.0258,/T,    0.1983,   3.0705180,  95.063064,  15.833394,        n.a.     n.a.
